什麼	"""<img alt=""""什么疑问Sticker - 什么疑问不明白- Discover &amp; Share GIFs"""" src=""""paste-3af146b1f66132cb6d074d2a31894ff375a0c9b3.png""""><br>traditional""
shen4me
[sound:pronunciation_zh_什麼.mp3]
"	tag
喜歡	"""<img alt=""""女生喜欢你的十种表现- 知乎"""" src=""""paste-71f44b86aaf8ff1e27719e788df1d91ef7678a35.jpg""""><br>traditional""
xi3huan1
[sound:pronunciation_zh_喜歡.mp3]
"	tag
早上	"""<img alt=""""早上、上午、中午、下午、晚上Flashcards | Quizlet"""" src=""""paste-411f2791eda25d2e5c5d35c9ab388ee928307a4c.jpg"""">""
zao3shang4
[sound:pronunciation_zh_早上-c0e84250b6db56ab16158ee28563e4e062c1e92d.mp3]
"	tag
下午	"""<img alt=""""一朵花里，一個世界；一杯茶裡，一片真情....下午好！ | Good afternoon, Good morning coffee gif, Good  morning picture"""" src=""""paste-14b4cb252fb35f8085f13efe9d7c00b520e19fa5.jpg"""">""
xia4wu3
[sound:pronunciation_zh_下午.mp3]
"	tag
晚上	"""<img alt=""""晚上背景图片下载_免费高清晚上背景设计素材_图精灵"""" src=""""paste-91ceb599e1e9e6e72b4528fab2b55fdd49bf3106.jpg"""">""
wan3shang4
[sound:pronunciation_zh_晚上.mp3]
"	tag
會	"""<img alt=""""Rosie the Riveter isn't who you think she is"""" src=""""paste-2baf6ccc4efd067b0c74be200e8d871ceb612124.jpg"""">""
hui4
[sound:pronunciation_zh_會 (2).mp3]
"	tag
說	"""<img alt=""""英文口說練習推薦：學會這10個小技巧，包準口說突飛猛進！｜EF ENGLISH LIVE部落格| EF English Live"""" src=""""paste-e23a6e928e379c210a3418e7a74cedf0bf8730d3.jpg"""">""
shuo1
[sound:pronunciation_zh_說 (1).mp3]
"	tag
英文	"""<img alt=""""我如何快速地學好英文？10個方法讓你增進你的英文（初學者也適用） | Ting Ting Chuang | Nordic。Travel。  Lifestyle。 Parenting"""" src=""""paste-9b98206d47e588c3db70764459c93d5965de7478.jpg"""">""
ying1wen2
[sound:pronunciation_zh_英文-f194f8365d997ac6b3fce5a8b9f01dd3ce38122f.mp3]
"	tag
中文	"""<img alt=""""The Word Chinese Surrounded Other Letters Stock Photo, Picture and Royalty  Free Image. Image 60133560."""" src=""""paste-c2e57dae04200d669bf62d5f7807e82d74e2175c.jpg"""">""
zhong1wen2
[sound:pronunciation_zh_中文-8c0cbaa203ba8c39b54fea56aa69360ca57321cc.mp3]
"	tag
一点	"""<img alt=""""抖音女生口中只吃一点表情包无水印下载_女生口中只吃一点表情包分享-游戏窝"""" src=""""paste-68ad84ab1f3552b10180042b0682939965e36adf.jpg"""">""
yi4dian3
[sound:pronunciation_zh_一点.mp3]
"	tag
粵語	"""<img src=""""paste-3c5c42518dfbbba9cbbe3a90c0d9f78282d3bc7e.jpg""""><br>1""
yue4yu3
[sound:pronunciation_zh_粵語.mp3]
"	tag
廣東話	"""<img src=""""paste-f7b5fd630e44a7a43f02042da5d48b86513be295.jpg""""><br>2""
guang3dong1hua4
[sound:pronunciation_zh_廣東話.mp3]
"	tag
學	"""<img alt=""""學測英聽時間113/2024年學測個人申請入學/繁星推薦採計英聽成績校系整理-洋碩美語"""" src=""""toPic.action"""">""
xue2
[sound:pronunciation_zh_學 (1).mp3]
"	tag
兩週	"""<img alt=""""Fortnite Does Not Equal &quot;Fortnight&quot;"""" src=""""paste-48e5eca174ea763306e4f02360c01002e570d250.jpg"""">""
liang3zhou1

"	tag
情	"""<img alt=""""3d Illustration Of Person Begging. 3d Rendering Of Human ..."""" src=""""21023506-3d-illustration-of-person-begging-3d-rendering-of-human-character.jpg"""">""
qing2
[sound:pronunciation_zh_情.mp3]
"	tag
慢	"""<img alt=""""世界十大慢动物看看都有谁"""" src=""""images-b61caf5c1ebbe132f0ef1d7f32a99e71c32bb45b.jpg"""">""
man4
[sound:pronunciation_zh_慢.mp3]
"	tag
慢點	"more slowly
man4dian3
"	tag
一邊	"""<img alt=""""左右脸不对称，一边大一边小，该怎么办？ - 知乎"""" src=""""paste-f30f096a2a4bfefa3e626f343b70b6f2f88c699d.jpg""""><img alt=""""一边...一边... (yìbiān...yìbiān...): The Complete Guide to Expressing  Multitasking in Chinese - ImproveMandarin"""" src=""""paste-cb3938d70ce7f8f2014a9097d398a78140da96d8.jpg"""">""
yi1bian1
[sound:pronunciation_zh_一邊.mp3]
"	tag
可以	"""<img alt=""""幽默力】為什麼別人的自嘲可以化解危機，你的卻讓人尷尬？"""" src=""""paste-0b25c0f55629274b236b8530fb8d0fe5035262ce.jpg"""">""
key3yi3
[sound:pronunciation_zh_可以.mp3]
"	tag
再說	"""<img alt=""""如何表达“没听清”“请再说一遍”?"""" src=""""paste-96ac9769f69565fd36a24142eb6873e158e54abb.jpg"""">""
zai4shuo1
[sound:pronunciation_zh_再說.mp3]
"	tag
高興	"""<img alt=""""高兴图片-高兴设计素材-高兴素材免费下载-万素网"""" src=""""paste-ee7752b8a9e1814ad109c022962fb3c4d65e59d5.png"""">""
gao1xing4
[sound:pronunciation_zh_高興.mp3]
"	tag
認識	"""<img alt=""""認識| にんしき| 認識。 是什麼意思？-日文字典，日文中文（繁體）字典Mazii"""" src=""""paste-38d33ef4aac4ecd7a7a54e323837da2934d2f264.jpg"""">""
ren4shi2
[sound:pronunciation_zh_認識.mp3]
"	tag
明白	"""<img alt=""""明白了图片-明白了素材-明白了插画-摄图新视界"""" src=""""paste-8601ad3c0372fe40e72712b63e600ca8b9cb7875.jpg"""">""
ming2bai2
[sound:pronunciation_zh_明白.mp3]
"	tag
理解	"""<img alt=""""感覺孤獨、沒有人理解自己？也許第一步是要學會了解自己– Fairy's Heart"""" src=""""paste-302c7057fb391c9e44935beffc437e2d37654117.jpg"""">""
li3jie3
[sound:pronunciation_zh_理解.mp3]
"	tag
澳大利亞	"""<img alt=""""城市、州和领地- 澳大利亚旅游局"""" src=""""paste-1929ab96c6c8ab4dea608eb1aff783ccfa87d46b.jpg"""">""
ao4da4li4ya4
[sound:pronunciation_zh_澳大利亞.mp3]
"	tag
很	"Very
hen3
[sound:pronunciation_zh_很.mp3]
"	tag
饿	"""<img alt=""""饿图片素材_免费饿PNG设计图片大全_图精灵"""" src=""""paste-4d0143e684447d27bc44d8ff53dca0eec7ee0f81.jpg"""">""
e4
[sound:pronunciation_zh_饿.mp3]
"	tag
渴	"""<img alt=""""a1/120:Thirst 口渴- 穴道、經絡、acupuncture study - udn部落格"""" src=""""paste-ab8e6cbdbbf72b70e85f6771313dbf156f2694bc.jpg"""">""
ke3
[sound:pronunciation_zh_渴.mp3]
"	tag
亞	"""<img alt=""""What Are The Five Regions Of Asia? - WorldAtlas"""" src=""""paste-15a63a07038dc6b2b598cc6001454ac85a82dc17.jpg"""">""
ya4
[sound:pronunciation_zh_亞.mp3]
"	tag
"""<span style=""""font-weight: 900;"""">利"	"""<img alt=""""Operating Profit: Definition, Calculation &amp; Examples - Hourly, Inc."""" src=""""paste-5ced131aefa31cbccd1569b24c37858b9a9f4f95.jpg"""">""
</span>li4
[sound:pronunciation_zh_利.mp3]""
"	tag
澳	"""<img alt=""""南方澳內埤海灘。美麗情人灣｜景觀絕佳海景咖啡館一整排@瑪格。圖寫生活"""" src=""""paste-7f28c6da8b0164dc111e886828419d9cf61f99e4.jpg"""">""
ao4
[sound:pronunciation_zh_澳.mp3]
"	tag
英	"""<img alt=""""英女王駕崩︱羅蘭七十年代起成電視御用女王曾扮演超過六十次"""" src=""""paste-e2b1164fc5a29a33ac4cd15b23d7f24abc6cedcf.jpg"""">""
ying1
[sound:pronunciation_zh_英.mp3]
"	tag
語	"""<img alt=""""Regional dialects and how they reflect different cultures"""" src=""""paste-ab266c28d50eb4350053fce36145094f1cb239b3.jpg"""">""
yu3
[sound:pronunciation_zh_語.mp3]
"	tag
話&nbsp;	"""<img alt=""""Regional dialects and how they reflect different cultures"""" src=""""paste-ab266c28d50eb4350053fce36145094f1cb239b3.jpg""""><br>2""
hua4
[sound:pronunciation_zh_話.mp3]
"	tag
廣東	"""<img alt=""""廣東- 維基百科，自由嘅百科全書"""" src=""""paste-972c086cb377f6dc80fbfaf9b37531fa6fe4c413.jpg"""">""
guang3dong1
[sound:pronunciation_zh_廣東.mp3]
"	tag
週	"week
zhou1
[sound:pronunciation_zh_週.mp3]
"	tag
兩	"""<img alt=""""二] [ 兩] – 香港小學習字表– 精選文章"""" src=""""paste-16af4fc0e5e8c70062490cb51d98d010a7d6bd81.jpg""""><br>(Counting)""
liang3
[sound:pronunciation_zh_兩.mp3]
"	tag
